                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9861,                 1.5994,                 1.2473,                0.26701,                0.28974,                0.20875,                0.07575,                 2.2673,                 2.2263,                 1.3859,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.9986,                 1.5553,                 1.2449,                0.20402,                0.33802,                0.18137,                0.06277,                 2.2891,                 2.5231,                 1.4154,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.9986,                 1.5694,                 1.2392,                0.19351,                0.30135,                0.17733,                0.06188,                 2.3286,                 2.7627,                 1.4138,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.9957,                 1.5889,                 1.2494,                0.23289,                0.26111,                0.18677,                0.06923,                 2.2819,                 2.4394,                 1.4061,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.9878,                 1.6075,                 1.2505,                0.20312,                0.31616,                0.18951,                0.06465,                 2.3075,                 2.6274,                  1.411,              0.0010564,              0.0010564,              0.0010564
                     40,                 2.0023,                 1.5402,                 1.2537,                0.20507,                0.33131,                0.18383,                0.06389,                 2.2776,                 2.3707,                 1.4101,              0.0010399,              0.0010399,              0.0010399
                     41,                  1.994,                 1.5539,                 1.2537,                0.20944,                0.34814,                0.20171,                0.06871,                 2.3305,                 2.6324,                 1.4168,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.9936,                 1.5421,                 1.2449,                0.22305,                0.28849,                0.19128,                0.06478,                 2.3195,                 2.6445,                 1.4235,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.9716,                 1.5417,                 1.2416,                0.18324,                0.34964,                0.16829,                0.05879,                 2.3197,                 2.5678,                 1.4138,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.9783,                 1.5633,                 1.2144,                0.20614,                0.31281,                0.17796,                0.06494,                 2.3489,                 2.4888,                 1.4353,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.9898,                  1.523,                 1.2452,                0.23507,                0.30095,                0.20318,                0.07236,                 2.2926,                 2.3708,                 1.4001,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.9836,                 1.5527,                 1.2484,                0.22035,                 0.2765,                0.18698,                0.06409,                  2.299,                 2.4258,                 1.3991,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.9749,                 1.5578,                  1.236,                0.22039,                0.32554,                0.19479,                0.06419,                 2.3333,                 2.7803,                 1.4109,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.9865,                 1.5764,                 1.2435,                 0.2607,                0.28865,                0.20625,                0.07445,                 2.3049,                 2.1353,                 1.4225,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.9964,                 1.5351,                 1.2404,                0.23569,                0.31765,                0.21623,                0.07849,                 2.3079,                 2.1675,                  1.399,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.9707,                 1.5324,                 1.2347,                0.16352,                0.33184,                0.15525,                0.05591,                 2.3251,                 2.6546,                 1.4473,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.9857,                 1.5106,                 1.2307,                0.19373,                0.33527,                0.18551,                 0.0656,                 2.2929,                  2.503,                 1.4394,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.9746,                 1.5229,                 1.2347,                 0.1838,                0.34243,                0.17865,                0.06351,                 2.3006,                 2.5575,                  1.419,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.9708,                 1.5244,                 1.2425,                0.19698,                0.32142,                0.18197,                0.06357,                 2.3018,                 2.4238,                 1.4251,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.9665,                 1.5062,                 1.2361,                0.22761,                0.30423,                  0.201,                0.06784,                 2.3392,                 2.5196,                 1.4343,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.9651,                 1.4852,                 1.2356,                0.20721,                0.29839,                0.18239,                0.06232,                 2.3121,                 2.6143,                 1.4267,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.9549,                 1.5012,                 1.2395,                 0.2088,                0.30814,                0.18545,                 0.0615,                 2.3386,                  2.503,                 1.4323,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.9534,                 1.4881,                 1.2317,                0.25211,                0.25224,                0.18584,                0.06457,                  2.373,                 2.3563,                 1.4807,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.9736,                 1.4705,                 1.2428,                0.18234,                0.32976,                0.16677,                0.05863,                 2.3737,                 2.5371,                 1.4769,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.9682,                 1.4951,                 1.2359,                0.22824,                0.26435,                0.18648,                0.06371,                 2.3504,                 2.5529,                 1.4214,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.9606,                 1.4674,                 1.2261,                0.20457,                0.30115,                0.17252,                0.05939,                 2.3473,                 2.6455,                 1.4443,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.9658,                 1.4613,                 1.2383,                0.19467,                0.30845,                0.17622,                0.06241,                 2.3001,                 2.4614,                 1.4237,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.9434,                 1.4657,                 1.2181,                0.19128,                0.30789,                 0.1656,                0.05677,                 2.3292,                 2.6202,                 1.4154,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.9456,                 1.4503,                 1.2385,                0.21773,                0.27478,                0.17168,                0.06098,                 2.3299,                 2.5029,                 1.4428,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.9612,                  1.447,                 1.2278,                0.20966,                0.32697,                0.17728,                0.06115,                 2.3239,                 2.3131,                 1.4106,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.9646,                 1.4248,                 1.2307,                0.19002,                0.34952,                0.17614,                0.06143,                 2.3507,                 2.7145,                 1.4403,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.9261,                 1.4269,                 1.2291,                0.18984,                0.36111,                0.18318,                0.06179,                 2.3657,                 2.4312,                  1.444,             0.00061079,             0.00061079,             0.00061079
                     67,                  1.949,                 1.4338,                 1.2187,                0.21239,                0.30474,                0.18916,                0.06382,                 2.3521,                  2.452,                 1.4406,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.9549,                 1.4492,                 1.2462,                0.20832,                0.32577,                0.18485,                0.06463,                 2.3422,                 2.3162,                 1.4277,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.9481,                 1.3822,                 1.2122,                0.21815,                0.32165,                 0.1942,                0.06641,                 2.3757,                 2.3363,                 1.4482,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.9342,                 1.3959,                 1.2267,                0.21534,                0.29942,                0.17877,                0.06096,                 2.3714,                 2.3711,                 1.4609,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.9382,                 1.4116,                 1.2259,                0.20414,                0.31626,                0.17917,                0.06216,                 2.3632,                 2.2852,                 1.4438,             0.00052827,             0.00052827,             0.00052827
